verkoop_productnaam,product_naam,product_groep_naam,koper_naam,eindklant_naam,is_ingepakt,handel_type,status,STICKER_AFGEDRUKT,AFLEVERDATUM,BRIEFNR,AANTAL_STUKS,bedrag,BESTELNR,BESTELDATUM,KOPER,PRODUKT,OPMERKINGNR,SORT1,SORT2,SORT3,SORT4,AANTAL_STUKS0,AANTAL_FUST,FUSTCD,STUKS_PER_FUST,PRIJS,DC,PL,STW,AFLEVERDATUM0,AFLEVERTIJD,AFLEVERLOKATIE,OPMERKING,ETIKET,HOES,STICKER,BESTELD_DOOR,INGEVOERD_DOOR,BESTELNR_BB,BESTELNR_KLANT,MUNT,ORDERNR,BRIEFNR0,REGELNR,VEILING,VERVOERDER,REGCD,BESTELNR_KOP,LL,EENH_REST,KARNR,LOCATIENR,TUIN,KARTYPE,INVOERDER,BESTELVOLGNR,BEELDV_REF,OS,BESTELTIJD,SORT5,SORT6,SORT7,SORT8,SORT9,SORT10,SK1,SK2,SK3,SK4,SK5,SK6,SK7,SK8,SK9,SK10,ARTIKEL_CD,AFLEVERLOCATIE_EAN,FE_ID,FE_VOLGNR,KEUR1,KEUR2,SRVCD_2,EENH_AFTEL,TEELTID,OPMERKING_2,STANDREG_VOLGNR,POS1,POS2,POS3,MIX_CD,VEILGROEP,STICKER_AFGEDRUKT0,BESTELLIJST_AFGEDRUKT,BESTELBON_AFGEDRUKT,EKT_VERSTUURD,KWALITEIT,DEPOT,OPM_VEILMEESTER,PRIJS_MIN,DATUM_EKT,KWEKER_ADMNR,AANTAL_RESTPLAAT,AFROEPPARTIJ,AANBODREFERENTIE,BARCODE,INKOOPPRIJS,PLAATNUMMER,KLEURCODE,TRANSPORTTIJD,RETAILORDER,VERVALLEN,VERVALLEN_DOOR,HANDMATIG_AFGEHANDELD,HANDELSREGELING_TOEGEPAST,EINDKLANTCODE,LANDCODE,SORTERINGSGROEPSVOLGNUMMER,STICKER_AUTOMATISCH_BIJWERKEN
Az. mix kar,Tiny mix 17,17 aziaat,Roozen GMBH & CO.KG,LIDL,False,geen_daghandel,op afroep,0,2025-08-01,,3840,6220.7998046875,260341,2024-12-18,55542,109034,3,17,40,3,23,3840,480,999,8,1.6200000047683716,0.0,0.0,0.0,2025-08-01,14:00:00,Af tuin,,nee,Lidl,nee,,,,,,0,,,N,,174,574-SK,0.0,nan,nan,0,0,4,Bianc,0,,0.0,10:12:06.122000,12,0,0,0,0,0,,,,,,,,,,,174-lidl,8714231208761,nan,nan,0,0,,nan,0,,831,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,3,SK,nan,0
Az. mix kar,Tiny mix 17,17 aziaat,Roozen GMBH & CO.KG,LIDL,False,geen_daghandel,op afroep,0,2025-08-01,,2560,4147.2001953125,260342,2024-12-18,55542,109034,3,17,40,3,23,2560,320,999,8,1.6200000047683716,0.0,0.0,0.0,2025-08-01,14:00:00,Af tuin,,nee,Lidl,nee,,,,,,0,,,N,,174,574-GR,0.0,nan,nan,0,0,4,Bianc,0,,0.0,10:12:47.280000,12,0,0,0,0,0,,,,,,,,,,,174-lidl,8714231208761,nan,nan,0,0,,nan,0,,831,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,3,GR,nan,0
Az. mix kar,Tiny mix 17,17 aziaat,Roozen GMBH & CO.KG,LIDL,False,geen_daghandel,op afroep,0,2025-07-11,,1152,1866.239990234375,260343,2024-12-18,55542,109034,3,17,40,3,23,1152,144,999,8,1.6200000047683716,0.0,0.0,0.0,2025-07-11,14:00:00,Af tuin,sticker aangeleverd,nee,Lidl,Ja,,,,,,0,,,N,,174,574-HR,0.0,nan,nan,0,0,4,Bianc,0,,0.0,10:13:18.516000,12,0,0,0,0,0,,,,,,,,,,,174-lidl,8714231208761,nan,nan,0,0,,nan,0,,831,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,3,HR,nan,0
Az. mix kar,Tiny mix 17,17 aziaat,Roozen GMBH & CO.KG,LIDL,False,geen_daghandel,op afroep,0,2025-08-15,,7808,12648.9599609375,260344,2024-12-18,55542,109034,3,17,40,3,23,7808,976,999,8,1.6200000047683716,0.0,0.0,0.0,2025-08-15,14:00:00,Af tuin,sticker aangeleverd,nee,Lidl,Ja,,,,,,0,,,N,,174,574-RO,0.0,nan,nan,0,0,4,Bianc,0,,0.0,10:14:00.954000,12,0,0,0,0,0,,,,,,,,,,,174-lidl,8714231208761,nan,nan,0,0,,nan,0,,831,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,3,RO,nan,0
Az. mix kar,Tiny mix 17,17 aziaat,Roozen GMBH & CO.KG,LIDL,False,geen_daghandel,op afroep,0,2025-08-01,,768,1244.1600341796875,260346,2024-12-18,55542,109034,3,17,40,3,23,768,96,999,8,1.6200000047683716,0.0,0.0,0.0,2025-08-01,14:00:00,Af tuin,sticker aangeleverd,nee,Lidl,Ja,,,,,,0,,,N,,174,574-RS,0.0,nan,nan,0,0,4,Bianc,0,,0.0,10:15:00.690000,12,0,0,0,0,0,,,,,,,,,,,174-lidl,8714231208761,nan,nan,0,0,,nan,0,,831,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,3,RS,nan,0
Az. mix kar,Tiny mix 17,17 aziaat,Roozen GMBH & CO.KG,LIDL,False,geen_daghandel,op afroep,0,2025-08-08,,10880,17625.599609375,260348,2024-12-18,55542,109034,3,17,40,3,23,10880,1360,999,8,1.6200000047683716,0.0,0.0,0.0,2025-08-08,14:00:00,Af tuin,,nee,Lidl,nee,,,,,,0,,,N,,174,574-ES,0.0,nan,nan,0,0,4,Bianc,0,,0.0,10:16:17.885000,12,0,0,0,0,0,,,,,,,,,,,174-lidl,8714231208761,nan,nan,0,0,,nan,0,,831,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,3,ES,nan,0
Az. mix kar,Tiny mix 17,17 aziaat,Roozen GMBH & CO.KG,LIDL,False,geen_daghandel,op afroep,0,2025-08-29,,36736,59512.3203125,260349,2024-12-18,55542,109034,3,17,40,3,23,36736,4592,999,8,1.6200000047683716,0.0,0.0,0.0,2025-08-29,14:00:00,Af tuin,,nee,Lidl,nee,,,,,,0,,,N,,174,574-FR,0.0,nan,nan,0,0,4,Bianc,0,,0.0,10:16:54.841000,12,0,0,0,0,0,,,,,,,,,,,174-lidl,8714231208761,nan,nan,0,0,,nan,0,,831,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,3,FR,nan,0
Az. mix kar,Tiny mix 17,17 aziaat,Roozen GMBH & CO.KG,LIDL,False,geen_daghandel,op afroep,0,2025-07-10,,1672,2708.639892578125,260350,2024-12-18,55542,109034,3,17,40,3,23,1672,209,999,8,1.6200000047683716,0.0,0.0,0.0,2025-07-10,14:00:00,Af tuin,deel 2 Italië,nee,Lidl,nee,,,,,,0,,,N,,174,574-IT,0.0,nan,nan,0,0,4,Bianc,0,,0.0,10:18:24.537000,12,0,0,0,0,0,,,,,,,,,,,174-lidl,8714231208761,nan,nan,0,0,,nan,0,,831,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,3,IT,nan,0
Lily Looks - Gemengd,Tiny mix 13,13 aziaat,Greenyard Flower Trade,REWE,False,geen_daghandel,op afroep,0,2025-01-29,,960,1593.5999755859375,260356,2024-12-18,61242,102402,3,13,38,3,23,960,80,999,12,1.659999966621399,0.0,0.0,0.0,2025-01-29,14:00:00,BOX NLD,,,,,,,,,,0,,,N,Eigen vervoer,121,,0.0,nan,nan,0,0,1,L,0,,0.0,10:41:49.470000,7,0,0,0,0,0,,,,,,,,,,,121-RBW,8714231208747,nan,nan,0,0,,nan,0,,808,0,0,0,0,,0,1,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,7,DE,nan,0
Lily Looks - Gemengd,Tiny mix 13,13 aziaat,Greenyard Flower Trade,REWE,False,geen_daghandel,op afroep,0,2025-02-05,,1344,2231.0400390625,260357,2024-12-18,61242,102402,3,13,38,3,23,1344,112,999,12,1.659999966621399,0.0,0.0,0.0,2025-02-05,14:00:00,BOX NLD,,,,,,,,,,0,,,N,Eigen vervoer,121,,0.0,nan,nan,0,0,1,L,0,,0.0,10:41:50.754000,7,0,0,0,0,0,,,,,,,,,,,121-RBW,8714231208747,nan,nan,0,0,,nan,0,,808,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,7,DE,nan,0
